配置方案,比例(国债:红利:黄金:纳指),再平衡阈值,年化收益率,最大回撤,夏普比率,总收益率,年化波动率,再平衡次数
保守型,5:2:1:1,0%,8.09%,13.52%,0.984,62.24%,618.82%,13
保守型,5:2:1:1,1%,8.19%,11.04%,1.054,62.99%,587.82%,155
保守型,5:2:1:1,3%,8.35%,11.15%,1.079,64.17%,588.52%,35
保守型,5:2:1:1,5%,8.33%,11.02%,1.076,64.01%,588.51%,18
稳健型,2:2:1:1,0%,11.03%,18.34%,0.990,100.71%,911.41%,13
稳健型,2:2:1:1,1%,11.21%,15.22%,1.054,102.21%,873.72%,232
稳健型,2:2:1:1,3%,11.28%,14.84%,1.064,102.27%,872.37%,43
稳健型,2:2:1:1,5%,11.42%,15.05%,1.080,103.99%,872.61%,24
平衡型,1:1:1:1,0%,12.00%,16.15%,1.073,119.61%,931.96%,13
平衡型,1:1:1:1,1%,12.19%,13.26%,1.138,121.31%,895.89%,252
平衡型,1:1:1:1,3%,12.19%,13.81%,1.132,121.23%,899.99%,46
平衡型,1:1:1:1,5%,12.34%,13.81%,1.141,122.93%,906.21%,24
进取型,1:2:2:3,0%,13.94%,16.91%,1.052,150.74%,1134.94%,13
进取型,1:2:2:3,1%,14.19%,14.11%,1.104,153.58%,1104.78%,297
进取型,1:2:2:3,3%,14.25%,14.07%,1.109,154.53%,1105.27%,56
进取型,1:2:2:3,5%,14.24%,14.64%,1.100,153.56%,1113.10%,27
激进型,1:2:4:8,0%,15.68%,18.83%,1.050,189.97%,1303.24%,13
激进型,1:2:4:8,1%,15.91%,17.66%,1.081,193.76%,1287.43%,282
激进型,1:2:4:8,3%,15.95%,17.64%,1.083,194.06%,1287.99%,54
激进型,1:2:4:8,5%,16.08%,17.53%,1.092,195.60%,1289.81%,28
股金型,0:1:2:5,0%,16.79%,21.19%,1.007,212.08%,1469.18%,13
股金型,0:1:2:5,1%,17.07%,20.11%,1.032,217.26%,1460.34%,271
股金型,0:1:2:5,3%,16.93%,20.35%,1.022,212.72%,1461.57%,46
股金型,0:1:2:5,5%,17.17%,19.98%,1.037,217.34%,1463.49%,25
红利增强,3:4:1:1,0%,9.60%,24.86%,0.733,73.41%,1037.56%,13
红利增强,3:4:1:1,1%,9.86%,21.96%,0.785,75.93%,1000.73%,225
红利增强,3:4:1:1,3%,9.88%,22.19%,0.788,76.51%,1000.58%,43
红利增强,3:4:1:1,5%,10.13%,21.24%,0.811,78.01%,1002.63%,26
科技成长,1:1:1:5,0%,15.48%,20.68%,0.934,174.49%,1442.84%,13
科技成长,1:1:1:5,1%,15.66%,19.60%,0.957,176.58%,1427.76%,221
科技成长,1:1:1:5,3%,15.69%,19.86%,0.957,177.40%,1431.42%,42
科技成长,1:1:1:5,5%,15.83%,19.51%,0.965,179.64%,1433.07%,24
