配置方案,比例(国债:红利:黄金:纳指),再平衡阈值,年化收益率,最大回撤,夏普比率,总收益率,再平衡次数
保守型,5:2:1:1,0%,9.11%,20.91%,1.022,150.88%,22
保守型,5:2:1:1,1%,7.77%,26.92%,0.889,130.66%,1049
保守型,5:2:1:1,3%,8.05%,26.11%,0.933,135.41%,143
保守型,5:2:1:1,5%,8.18%,25.34%,0.954,138.54%,50
稳健型,2:2:1:1,0%,11.41%,33.17%,0.943,240.30%,22
稳健型,2:2:1:1,1%,9.74%,39.04%,0.805,198.29%,1235
稳健型,2:2:1:1,3%,10.19%,37.86%,0.853,211.24%,144
稳健型,2:2:1:1,5%,10.37%,37.85%,0.878,216.89%,63
平衡型,1:1:1:1,0%,11.96%,32.25%,0.998,280.40%,22
平衡型,1:1:1:1,1%,10.51%,37.63%,0.878,238.92%,1316
平衡型,1:1:1:1,3%,10.83%,36.56%,0.912,248.33%,134
平衡型,1:1:1:1,5%,10.94%,36.36%,0.925,253.83%,59
进取型,1:2:2:3,0%,13.10%,39.26%,0.952,363.25%,22
进取型,1:2:2:3,1%,11.69%,42.49%,0.841,310.48%,1326
进取型,1:2:2:3,3%,12.12%,41.86%,0.880,328.54%,112
进取型,1:2:2:3,5%,12.26%,41.84%,0.895,335.77%,52
激进型,1:2:4:8,0%,13.74%,39.92%,0.907,460.42%,22
激进型,1:2:4:8,1%,12.76%,42.56%,0.822,411.19%,998
激进型,1:2:4:8,3%,13.09%,41.96%,0.848,427.88%,103
激进型,1:2:4:8,5%,13.41%,41.48%,0.871,450.69%,54
股金型,0:1:2:5,0%,14.27%,44.49%,0.845,524.34%,22
股金型,0:1:2:5,1%,13.42%,46.30%,0.777,478.37%,947
股金型,0:1:2:5,3%,13.74%,45.86%,0.799,496.84%,102
股金型,0:1:2:5,5%,13.86%,45.71%,0.811,504.57%,46
红利增强,3:4:1:1,0%,10.64%,39.04%,0.726,183.22%,22
红利增强,3:4:1:1,1%,8.82%,45.94%,0.591,150.49%,1127
红利增强,3:4:1:1,3%,9.15%,45.15%,0.621,156.28%,170
红利增强,3:4:1:1,5%,9.42%,44.53%,0.643,162.88%,62
科技成长,1:1:1:5,0%,13.23%,42.60%,0.808,442.87%,22
科技成长,1:1:1:5,1%,12.37%,45.19%,0.736,403.99%,853
科技成长,1:1:1:5,3%,12.65%,44.69%,0.756,417.29%,104
科技成长,1:1:1:5,5%,12.83%,44.41%,0.772,428.32%,43
