时间段名称,时间段描述,市场类型,开始日期,结束日期,持续月数,权重配置,国债权重,红利权重,黄金权重,纳斯达克权重,总收益率(%),年化收益率(%),最大回撤(%),回补时间(天),夏普比率,最终价值(元),总投入(元),再平衡次数,波动率(%)
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,等权重配置,0.25,0.25,0.25,0.25,72.05,31.29,-25.35,,1.411,172045.59,100000,2,20.76
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,偏债券配置,0.4,0.3,0.15,0.15,84.31,35.9,-28.35,,1.459,184306.89,100000,2,23.24
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,偏红利配置,0.2,0.4,0.2,0.2,108.16,44.46,-35.3,,1.413,208156.68,100000,2,30.05
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,偏纳斯达克配置,0.15,0.25,0.1,0.5,83.47,35.59,-26.29,,1.514,183470.1,100000,2,22.18
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,偏黄金配置,0.1,0.2,0.6,0.1,46.59,21.15,-21.39,,1.036,146591.51,100000,2,18.49
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,高债券配置,0.5,0.2,0.2,0.1,58.01,25.8,-20.39,,1.45,158009.08,100000,2,16.42
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,高股票配置,0.05,0.35,0.1,0.5,108.13,44.45,-33.29,,1.492,208128.81,100000,2,28.45
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,低黄金配置,0.3,0.35,0.05,0.3,104.01,43.01,-32.26,,1.519,204008.17,100000,2,26.99
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,均衡偏商品配置,0.2,0.3,0.3,0.2,80.87,34.63,-28.93,,1.36,180871.63,100000,2,23.98
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,保守股票配置,0.35,0.35,0.15,0.15,96.3,40.27,-31.79,,1.444,196303.34,100000,2,26.5
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,激进配置,0.1,0.45,0.05,0.4,132.11,52.57,-38.74,,1.497,232109.45,100000,2,33.79
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,超保守配置,0.6,0.15,0.15,0.1,47.93,21.71,-15.83,,1.547,147934.16,100000,2,12.74
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,纯红利配置(无国债),0.0,1.0,0.0,0.0,267.01,92.0,-59.52,,1.422,367010.39,100000,2,63.27
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,纯黄金配置(无国债),0.0,0.0,1.0,0.0,-6.67,-3.4,-20.39,,-0.411,93334.88,100000,2,13.15
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,纯纳斯达克配置(无国债),0.0,0.0,0.0,1.0,38.49,17.75,-12.7,71.0,0.901,138488.12,100000,2,17.48
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,红利+黄金均衡(无国债),0.0,0.5,0.5,0.0,115.4,46.96,-40.85,,1.226,215399.85,100000,2,36.69
大牛市,2014-2015年大牛市,牛市,2014-01-01,2015-12-31,24,红利+纳斯达克(无国债),0.0,0.5,0.0,0.5,150.09,58.39,-41.72,,1.512,250088.47,100000,2,37.3
