配置方案,比例(国债:红利:黄金:纳指),再平衡阈值,年化收益率,最大回撤,夏普比率,总收益率,再平衡次数
保守型,5:2:1:1,0%,9.15%,20.73%,1.029,151.50%,22
保守型,5:2:1:1,1%,8.11%,25.74%,0.941,136.75%,376
保守型,5:2:1:1,3%,8.36%,25.23%,0.978,143.00%,84
保守型,5:2:1:1,5%,8.30%,24.78%,0.972,140.40%,39
稳健型,2:2:1:1,0%,11.46%,32.97%,0.949,241.15%,22
稳健型,2:2:1:1,1%,10.45%,37.31%,0.880,219.19%,538
稳健型,2:2:1:1,3%,10.44%,37.23%,0.881,219.59%,91
稳健型,2:2:1:1,5%,10.59%,36.76%,0.899,224.96%,50
平衡型,1:1:1:1,0%,12.00%,32.04%,1.003,281.25%,22
平衡型,1:1:1:1,1%,11.09%,36.09%,0.940,257.43%,535
平衡型,1:1:1:1,3%,11.25%,36.39%,0.955,264.53%,102
平衡型,1:1:1:1,5%,11.17%,35.36%,0.947,261.40%,45
进取型,1:2:2:3,0%,13.15%,39.04%,0.956,364.11%,22
进取型,1:2:2:3,1%,12.47%,40.65%,0.911,345.12%,631
进取型,1:2:2:3,3%,12.42%,40.92%,0.906,338.99%,107
进取型,1:2:2:3,5%,12.43%,41.17%,0.909,343.17%,49
激进型,1:2:4:8,0%,13.77%,39.78%,0.908,460.53%,22
激进型,1:2:4:8,1%,13.40%,40.78%,0.872,448.58%,552
激进型,1:2:4:8,3%,13.40%,40.79%,0.871,444.22%,101
激进型,1:2:4:8,5%,13.52%,40.50%,0.885,453.50%,48
股金型,0:1:2:5,0%,14.29%,44.37%,0.846,524.44%,22
股金型,0:1:2:5,1%,14.00%,44.70%,0.817,514.00%,516
股金型,0:1:2:5,3%,14.02%,44.60%,0.818,514.52%,100
股金型,0:1:2:5,5%,14.11%,44.44%,0.826,518.17%,47
红利增强,3:4:1:1,0%,10.70%,38.85%,0.731,184.23%,22
红利增强,3:4:1:1,1%,9.40%,44.36%,0.641,162.35%,525
红利增强,3:4:1:1,3%,9.44%,44.56%,0.646,162.09%,103
红利增强,3:4:1:1,5%,9.62%,44.25%,0.660,168.94%,51
科技成长,1:1:1:5,0%,13.25%,42.47%,0.810,442.80%,22
科技成长,1:1:1:5,1%,12.84%,43.91%,0.769,429.48%,437
科技成长,1:1:1:5,3%,12.81%,44.26%,0.768,423.46%,74
科技成长,1:1:1:5,5%,12.95%,43.78%,0.780,433.90%,42
